"goodsname";"barcode";"article";"comment";"deleted";"amount"
"Футболка жіноча Cotton Road black XS";"2000000000015";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman white XS";"2000000000022";"6206";"";"6";"0"
"Футболка жіноча ST2600 Stedman black XS";"2000000000039";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman white S";"2000000000046";"6206";"";"4";"0"
"Футболка жіноча ST2600 Stedman grey S";"2000000000053";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman pink S";"2000000000060";"6205";"";"1";"0"
"Футболка жіноча ST2600 Stedman ocean S";"2000000000077";"6206";"";"1";"0"
"Футболка жіноча ST2600 Stedman black S";"2000000000084";"6206";"";"3";"0"
"Футболка жіноча ST2600 Stedman blue S";"2000000000091";"6206";"";"2";"0"
"Футболка жіноча B&C grey S";"2000000000107";"6206";"";"1";"0"
"Футболка жіноча ST2600 Stedman black M";"2000000000114";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman white M";"2000000000121";"6206";"";"3";"0"
"Футболка жіноча ST2600 Stedman grey M";"2000000000138";"6206";"";"3";"0"
"Футболка жіноча ST2600 Stedman pink M";"2000000000145";"6206";"";"1";"0"
"Футболка жіноча ST2600 Stedman dark blue M";"2000000000152";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman blue M";"2000000000169";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman red M";"2000000000176";"6206";"";"1";"0"
"Футболка жіноча ST2600 Stedman white L";"2000000000183";"6206";"";"3";"0"
"Футболка жіноча ST2600 Stedman black L";"2000000000190";"6206";"";"1";"0"
"Футболка жіноча ST2600 Stedman grey L";"2000000000206";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman dark blue L";"2000000000213";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman blue L";"2000000000220";"6206";"";"1";"0"
"Футболка жіноча Cotton Road black L";"2000000000237";"6206";"";"3";"0"
"Футболка жіноча Cotton Road white L";"2000000000244";"6206";"";"1";"0"
"Футболка жіноча ST2600 Stedman white XL";"2000000000251";"6206";"";"4";"0"
"Футболка жіноча ST2600 Stedman black XL";"2000000000268";"6206";"";"2";"0"
"Футболка жіноча ST2600 Stedman white XXL";"2000000000275";"6206";"";"1";"0"
"Футболка жіноча Cotton Road black XXL";"2000000000282";"6206";"";"4";"0"
"Футболка жіноча Cotton Road white XXL";"2000000000299";"6206";"";"4";"0"
"Футболка чоловіча Cotton Road black XS";"2000000000305";"6205";"";"3";"0"
"Футболка чоловіча Stedman ST2000 black XS";"2000000000312";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 white XS";"2000000000329";"6205";"";"5";"0"
"Футболка чоловіча Cotton Road white XS";"2000000000336";"6205";"";"1";"0"
"Футболка чоловіча Cotton Road dark blue S";"2000000000343";"6205";"";"1";"0"
"Футболка чоловіча Cotton Road black S";"2000000000350";"6205";"";"11";"0"
"Футболка чоловіча B&C orange S";"2000000000367";"6205";"";"";"0"
"Футболка чоловіча Stedman ST2000 green S";"2000000000374";"6205";"";"2";"0"
"Футболка чоловіча B&C grey S";"2000000000381";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 grey S";"2000000000398";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 red S";"2000000000404";"6205";"";"2";"0"
"Футболка чоловіча Stedman ST2100 red S";"2000000000411";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 dark blue S";"2000000000428";"6205";"";"3";"0"
"Футболка чоловіча Stedman ST3000 dark blue S";"2000000000435";"6205";"";"1";"0"
"Футболка чоловіча Cotton Road dark blue M";"2000000000442";"6205";"";"2";"0"
"Футболка чоловіча B&C dark blue M";"2000000000459";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 white M";"2000000000466";"6205";"";"2";"0"
"Футболка чоловіча Stedman ST2000 green M";"2000000000473";"6205";"";"2";"0"
"Футболка чоловіча Stedman ST2000 grey M";"2000000000480";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 red M";"2000000000497";"6205";"";"3";"0"
"Футболка чоловіча Stedman ST2100 dark blue M";"2000000000503";"6205";"";"1";"0"
"Футболка чоловіча Cotton Road black M";"2000000000510";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST3000 dark blue M";"2000000000527";"6205";"";"1";"0"
"Футболка чоловіча Cotton Road black L";"2000000000534";"6205";"";"4";"0"
"Футболка чоловіча Cotton Road dark blue L";"2000000000541";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 green L";"2000000000558";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 red L";"2000000000565";"6205";"";"2";"0"
"Футболка чоловіча Cotton Road white L";"2000000000572";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 white L";"2000000000589";"6205";"";"3";"0"
"Футболка чоловіча Stedman ST2000 fish-wolf L";"2000000000596";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST3000 dark blue L";"2000000000602";"6205";"";"1";"0"
"Футболка чоловіча Cotton Road dark blue XL";"2000000000619";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 white XL";"2000000000626";"6205";"";"4";"0"
"Футболка чоловіча Stedman ST2000 grey XXL";"2000000000633";"6205";"";"1";"0"
"Футболка чоловіча Stedman ST2000 black XL";"2000000000640";"6205";"";"4";"0"
"Футболка чоловіча Stedman ST2000 white XXL";"2000000000657";"6205";"";"11";"0"
"Футболка чоловіча Stedman ST2000 black XXXL";"2000000000664";"6205";"";"4";"0"
"Футболка чоловіча Stedman ST2000 white XXXL";"2000000000671";"6205";"";"4";"0"
"Футболка дитяча Cotton Road white 5XS 3-4";"2000000000688";"6209";"";"3";"0"
"Футболка дитяча Cotton Road white 4XS 5-6";"2000000000695";"6209";"";"1";"0"
"Футболка дитяча Cotton Road white 3XS 7-8";"2000000000701";"6209";"";"1";"0"
"Футболка дитяча Cotton Road white 2XS 9-10";"2000000000718";"6209";"";"5";"0"
"Футболка дитяча Cotton Road white XS 11-12";"2000000000725";"6209";"";"3";"0"
"Футболка дитяча Stedman ST2000 blue 3XS 86-92";"2000000000732";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 red 3XS 86-92";"2000000000749";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 black 3XS 86-92";"2000000000756";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 orange 2XS 98-104";"2000000000763";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 black 2XS 98-104";"2000000000770";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 red 2XS 98-104";"2000000000787";"6209";"";"2";"0"
"Футболка дитяча Stedman ST2000 blue 2XS 98-104";"2000000000794";"6209";"";"3";"0"
"Футболка дитяча Stedman ST2000 black XS 110-116";"2000000000800";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 yellow XS 110-116";"2000000000817";"6209";"";"1";"0"
"Футболка дитяча Stedman ST2000 red XS 110-116";"2000000000824";"6209";"";"1";"0"
